,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,acc0,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,,,,
0,25000,1000,0.5,50,10,25,5,0.701923077,0.725274725,0.582417582,0.692307692,0.747252747,0.692307692,0.725274725,0.78021978,0.644736842,0.677966102,0.896551724,0.612903226,,,,
Training all distance,,,Change to BPTT function,,,,,,,,,,,,,,,,,,,,
0,4000,1000,0.5,50,0,25,5,0.711702128,0.769230769,0.582417582,0.714285714,0.747252747,0.703296703,0.703296703,0.78021978,0.648351648,0.725274725,0.777777778,0.612903226,,,,
0,4000,1000,0.5,50,1,25,5,0.718085106,0.758241758,0.648351648,0.736263736,0.736263736,0.725274725,0.703296703,0.769230769,0.67032967,0.769230769,0.733333333,0.516129032,,,,
0,4000,1000,0.5,50,2,25,5,0.715957447,0.747252747,0.648351648,0.736263736,0.747252747,0.736263736,0.692307692,0.758241758,0.681318681,0.791208791,0.688888889,0.516129032,,,,
0,4000,1000,0.5,50,5,25,5,0.724468085,0.769230769,0.637362637,0.725274725,0.758241758,0.692307692,0.703296703,0.791208791,0.692307692,0.725274725,0.788888889,0.612903226,,,,
0,4000,1000,0.5,50,10,25,5,0.706382979,0.714285714,0.582417582,0.692307692,0.747252747,0.692307692,0.725274725,0.78021978,0.67032967,0.703296703,0.788888889,0.612903226,,,,
,,,New Change to BPTT,,,,,,,,,,,,,,,,,,,,
0,4000,1000,0.5,50,0,25,5,0.711702128,0.769230769,0.582417582,0.714285714,0.747252747,0.703296703,0.703296703,0.78021978,0.648351648,0.725274725,0.777777778,0.612903226,,,,
0,4000,1000,0.5,50,1,25,5,0.718085106,0.758241758,0.648351648,0.736263736,0.736263736,0.725274725,0.703296703,0.769230769,0.67032967,0.769230769,0.733333333,0.516129032,,,,
0,4000,1000,0.5,50,2,25,5,0.715957447,0.758241758,0.648351648,0.736263736,0.747252747,0.725274725,0.714285714,0.758241758,0.659340659,0.791208791,0.7,0.483870968,,,,
0,4000,1000,0.5,50,3,25,5,0.717021277,0.758241758,0.659340659,0.736263736,0.747252747,0.725274725,0.714285714,0.758241758,0.67032967,0.78021978,0.7,0.483870968,,,,
0,4000,1000,0.5,50,5,25,5,0.719148936,0.769230769,0.659340659,0.736263736,0.747252747,0.725274725,0.714285714,0.758241758,0.681318681,0.78021978,0.7,0.483870968,,,,
0,4000,1000,0.5,50,7,25,5,0.719148936,0.769230769,0.626373626,0.714285714,0.747252747,0.714285714,0.725274725,0.78021978,0.659340659,0.703296703,0.788888889,0.612903226,,,,
0,4000,1000,0.5,50,10,25,5,0.719148936,0.769230769,0.626373626,0.714285714,0.747252747,0.714285714,0.714285714,0.78021978,0.67032967,0.703296703,0.788888889,0.612903226,,,,
,,,Using Q2 and Q4 way to predict,,,,,,,,,,,,,,,,,,,,
0,4000,1000,0.5,50,0,25,5,0.594680851,0.615384615,0.450549451,0.67032967,0.703296703,0.549450549,0.527472527,0.604395604,0.549450549,0.659340659,0.644444444,0.516129032,,,,
0,4000,1000,0.5,50,1,25,5,0.623404255,0.626373626,0.505494505,0.681318681,0.692307692,0.56043956,0.604395604,0.67032967,0.582417582,0.67032967,0.677777778,0.516129032,,,,
0,4000,1000,0.5,50,2,25,5,0.640425532,0.659340659,0.527472527,0.659340659,0.703296703,0.615384615,0.615384615,0.681318681,0.626373626,0.681318681,0.677777778,0.516129032,,,,
0,4000,1000,0.5,50,3,25,5,0.59893617,0.637362637,0.472527473,0.67032967,0.659340659,0.56043956,0.549450549,0.626373626,0.615384615,0.626373626,0.611111111,0.483870968,,,,
0,4000,1000,0.5,50,4,25,5,0.622340426,0.637362637,0.450549451,0.659340659,0.692307692,0.604395604,0.659340659,0.659340659,0.626373626,0.659340659,0.6,0.548387097,,,,
0,4000,1000,0.5,50,5,25,5,0.606382979,0.637362637,0.472527473,0.659340659,0.67032967,0.604395604,0.571428571,0.637362637,0.615384615,0.637362637,0.577777778,0.548387097,,,,
0,4000,1000,0.5,50,6,25,5,0.610638298,0.637362637,0.472527473,0.637362637,0.67032967,0.604395604,0.637362637,0.626373626,0.637362637,0.637362637,0.566666667,0.548387097,,,,
0,4000,1000,0.5,50,7,25,5,0.613829787,0.615384615,0.461538462,0.648351648,0.67032967,0.615384615,0.626373626,0.659340659,0.637362637,0.659340659,0.566666667,0.548387097,,,,
